ID,Video Game,avaliable consoles  ,Game Inventor,First Release Date,Video Game Type,Year of Induction  ,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,Tetris ,,,,,2015,,,,,,,,,,,,,,,,,,,,
,World of Warcraft,,,,,2015,,,,,,,,,,,,,,,,,,,,
,Super Mario Bros,,,,,2015,,,,,,,,,,,,,,,,,,,,
,Pac Man ,,,,,2015,,,,,,,,,,,,,,,,,,,,
,Doom ,,,,,2015,,,,,,,,,,,,,,,,,,,,
,Pong,,,,,2015,,,,,,,,,,,,,,,,,,,,
,Grand Theft Auto 2,,,,,2016,,,,,,,,,,,,,,,,,,,,
,The Oregon Trails,,,,,2016,,,,,,,,,,,,,,,,,,,,
,The Legend of Zelda,,,,,2016,,,,,,,,,,,,,,,,,,,,
,The Sims,,,,,2016,,,,,,,,,,,,,,,,,,,,
,Sonic,,,,,2016,,,,,,,,,,,,,,,,,,,,
,Space Invadera,,,,,2016,,,,,,,,,,,,,,,,,,,,
,Pokemon Red and Green  ,,,,,2017,,,,,,,,,,,,,,,,,,,,
,Halo Combate Evolved,,,,,2017,,,,,,,,,,,,,,,,,,,,
,Street Fighter II,,,,,2017,,,,,,,,,,,,,,,,,,,,
,Donkey Kong ,,,,,2017,,,,,,,,,,,,,,,,,,,,
,Tomb Radier  ,,,,,2018,,,,,,,,,,,,,,,,,,,,
,Spacewar!,,,,,2018,,,,,,,,,,,,,,,,,,,,
,Joe Madden Football,,,,,2018,,,,,,,,,,,,,,,,,,,,
,Final Fantasy VII,,,,,2018,,,,,,,,,,,,,,,,,,,,
,Super Mario Kart,,,,,2019,,,,,,,,,,,,,,,,,,,,
,Mortal Kombat ,,,,,2019,,,,,,,,,,,,,,,,,,,,
,Microsoft Solitaire,,,,,2019,,,,,,,,,,,,,,,,,,,,
,Collosal Cave Adventures,,,,,2019,,,,,,,,,,,,,,,,,,,,
,Minecraft,,,,,2020,,,,,,,,,,,,,,,,,,,,
,King's Quest,,,,,2020,,,,,,,,,,,,,,,,,,,,
,Centipede ,,,,,2020,,,,,,,,,,,,,,,,,,,,
,Bejeweled,,,,,2020,,,,,,,,,,,,,,,,,,,,
,Where in the World is Carmen Sandiego,,,,,2021,,,,,,,,,,,,,,,,,,,,
,Starcraft,,,,,2021,,,,,,,,,,,,,,,,,,,,
,Microsoft Flight Simulator,,,,,2021,,,,,,,,,,,,,,,,,,,,
,Animal Crossing ,,,,,2022,,,,,,,,,,,,,,,,,,,,
,Sid Meier's Civilisation,,,,,2022,,,,,,,,,,,,,,,,,,,,
,Ms. Pac Man,,,,,2022,,,,,,,,,,,,,,,,,,,,
,The Legend of Zelda : Ocarina of Time  ,,,,,2022,,,,,,,,,,,,,,,,,,,,
,Dance Dance Revolution,,,,,2022,,,,,,,,,,,,,,,,,,,,
,Wii Sports,,,,,2023,,,,,,,,,,,,,,,,,,,,
,The Last of Us,,,,,2023,,,,,,,,,,,,,,,,,,,,
,Computer Space,,,,,2023,,,,,,,,,,,,,,,,,,,,
,Barbie Fashion Designer ,,,,,2023,,,,,,,,,,,,,,,,,,,,
,Ultima,,,,,2024,,,,,,,,,,,,,,,,,,,,
,Simcity ,,,,,2024,,,,,,,,,,,,,,,,,,,,
,Resident Evil,,,,,2024,,,,,,,,,,,,,,,,,,,,
,Myst,,,,,2024,,,,,,,,,,,,,,,,,,,,
,Asteroids,,,,,2024,,,,,,,,,,,,,,,,,,,,
