ID,Toys,Toy Owner/Patent?,Date Created ,Toy Inventor,Toy Type,Year of Induction,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
,Teddy Bear ,,1902,Teddy Rosevelt ,Soft Toy ,1998,,,,,,,,,,,,,,,,,,,,
,Erector Set ,,1913,A.C.Gilbert ,Construction ,1998,,,,,,,,,,,,,,,,,,,,
,Crayola Crayons,Crayola,1903,Binney & Smith ,Arts/Stationary,1998,,,,,,,,,,,,,,,,,,,,
,Frisbee,,1958,Walter Morrison and his partner Warren Franscioni ,Outdoor,1998,,,,,,,,,,,,,,,,,,,,
,Barbie,,1959,Ruth Handel ,Dolls/Action figures,1998,,,,,,,,,,,,,,,,,,,,
,Etch-A Sketch,,1959,Andre Cassagnes,Arts/Stationary,1998,,,,,,,,,,,,,,,,,,,,
,Monopoly ,,1904,Elizabeth Magie,Board Game,1998,,,,,,,,,,,,,,,,,,,,
,Tinkertoy,,1985,Robert Petit,Constructions,1998,,,,,,,,,,,,,,,,,,,,
,Play-doh,,1956,Joe McVicker,Arts/Stationary ,1998,,,,,,,,,,,,,,,,,,,,
,Marbles  ,,,,Collectors/competative,1998,,,,,,,,,,,,,,,,,,,,
,Lego ,,1958,Ole Christiansen,Construction,1998,,,,,,,,,,,,,,,,,,,,
,Lincon Logs ,,1924,John Lloyd Wright,Construction,1999,,,,,,,,,,,,,,,,,,,,
,Hulla Hoops,,1957,"Richard Keer and Arthur ""Spud"" Melin",Outdoors,1999,,,,,,,,,,,,,,,,,,,,
,Duncans YoYo,,1928,Donald F Duncan,,1999,,,,,,,,,,,,,,,,,,,,
,View-Master,,1938,Harodl Graves,,1999,,,,,,,,,,,,,,,,,,,,
,Roller Skates ,,1863,James Plimption,Outdoors,1999,,,,,,,,,,,,,,,,,,,,
,Radio Flyer Wagon ,Liberty Coster Company  ,1923,Antonio Pasin,Outdoors,1999,,,,,,,,,,,,,,,,,,,,
,Jump Rope,,,,Outdoors,2000,,,,,,,,,,,,,,,,,,,,
,Jacks,,,,Outdoors/Competative,2000,,,,,,,,,,,,,,,,,,,,
,Bicycle,,1933,,Outdoors,2000,,,,,,,,,,,,,,,,,,,,
,Slinky,,1943,Richard James,,2000,,,,,,,,,,,,,,,,,,,,
,Mr Potato Head,Hasbro,1952,George Lerner ,Doll/action figure,2000,The hassen feild  bros from 1952 own this and then hasbro owned it in  1964,,,,,,,,,,,,,,,,,,,
,Tonka Trucks ,Tonka,1947,,Vehicles,2001,Hasbro Acquired Tonka in 2001,,,,,,,,,,,,,,,,,,,
,Silly Putty ,,1950,James Wright,Novelty Toys,2001,,,,,,,,,,,,,,,,,,,,
,Jigsaw Puzles,Milton Bradley/ Parker Brothers,1760,John Spilsbruy ,Puzzles ,2002,,,,,,,,,,,,,,,,,,,,
,Raggedy Ann and Andy ,,1915/1920,Johnny Gruelle,Doll/action figure,2002,,,,,,,,,,,,,,,,,,,,
,Checkers,,,,Board Game,2003,,,,,,,,,,,,,,,,,,,,
,Alphabet Blocks ,,1693,John Lock,Educational,2003,,,,,,,,,,,,,,,,,,,,
,Scrabble,,1954,Alfred M. Butts,Board Game,2004,,,,,,,,,,,,,,,,,,,,
,G.i Joe,Hasbro,1964,,Doll/Action figgure ,2004,,,,,,,,,,,,,,,,,,,,
,Rocking Horse,,18th Centuary,,Wooden Things ,2004,,,,,,,,,,,,,,,,,,,,
,Jack in the Box,,,,Wooden Things ,2005,,,,,,,,,,,,,,,,,,,,
,CandyLand,Hasbro,1949,Elanor Abott,Board Games,2005,,,,,,,,,,,,,,,,,,,,
,Cardboard Box,,1879,,,2005,,,,,,,,,,,,,,,,,,,,
,Easy Bake Oven,,1963,,Educational,2006,,,,,,,,,,,,,,,,,,,,
,Lionel Trains,Lionel,1900,Joshua Lioniel Cowen,Vehicles,2006,,,,,,,,,,,,,,,,,,,,
